Date,EUR/TND,USD/TND ,,,,, ,,,,,,,
9/4/2020,1.0927,2.9064,,,,,,,,,,,,
10/4/2020,1.0935,2.9064,,,,,,,,,,,,
13/4/2020,1.0913,2.8968,,,,,,,,,,,,
14/4/2020,1.0979,2.8891,,,,,,,,,,,,
15/4/2020,1.0907,2.8952,,,,,,,,,,,,
16/4/2020,1.0835,2.90135,,,,,,,,,,,,
17/4/2020,1.0876,2.9087,,,,,,,,,,,,
20/4/2020,1.0862,2.9051,,,,,,,,,,,,
21/4/2020,1.0856,2.907,,,,,,,,,,,,
22/4/2020,1.0822,2.9003,,,,,,,,,,,,
23/4/2020,1.0776,2.918,,,,,,,,,,,,
24/4/2020,1.082,2.9183,,,,,,,,,,,,
27/4/2020,1.0828,2.9062,,,,,,,,,,,,
28/4/2020,1.0818,2.8959,,,,,,,,,,,,
29/4/2020,1.0873,2.9031,,,,,,,,,,,,
30/4/2020,1.0955,2.8977,,,,,,,,,,,,
1/5/2020,1.0983,2.8903,,,,,,,,,,,,
4/5/2020,1.0906,2.8903,,,,,,,,,,,,
5/5/2020,1.0838,2.907,,,,,,,,,,,,
6/5/2020,1.0794,2.9125,,,,,,,,,,,,
7/5/2020,1.0832,2.9148,,,,,,,,,,,,
8/5/2020,1.084,2.9073,,,,,,,,,,,,
11/5/2020,1.0806,2.9123,,,,,,,,,,,,
12/5/2020,1.0846,2.9088,,,,,,,,,,,,
13/5/2020,1.0816,2.90625,,,,,,,,,,,,
14/5/2020,1.0804,2.9204,,,,,,,,,,,,
15/5/2020,1.0815,2.9157,,,,,,,,,,,,
18/5/2020,1.0912,2.91495,,,,,,,,,,,,
19/5/2020,1.0921,2.8912,,,,,,,,,,,,
20/5/2020,1.0977,2.8931,,,,,,,,,,,,
21/5/2020,1.0949,2.8868,,,,,,,,,,,,
22/5/2020,1.09,2.9012,,,,,,,,,,,,
25/5/2020,1.0899,2.8917,,,,,,,,,,,,
26/5/2020,1.098,2.8917,,,,,,,,,,,,
27/5/2020,1.1003,2.8818,,,,,,,,,,,,
28/5/2020,1.1076,2.8851,,,,,,,,,,,,
29/5/2020,1.1098,2.86065,,,,,,,,,,,,
1/6/2020,1.1134,2.8689,,,,,,,,,,,,
2/6/2020,1.1169,2.8579,,,,,,,,,,,,
3/6/2020,1.1232,2.8531,,,,,,,,,,,,
4/6/2020,1.1336,2.85805,,,,,,,,,,,,
5/6/2020,1.1284,2.83995,,,,,,,,,,,,
8/6/2020,1.1292,2.84045,,,,,,,,,,,,
9/6/2020,1.134,2.83485,,,,,,,,,,,,
10/6/2020,1.1369,2.8296,,,,,,,,,,,,
11/6/2020,1.1297,2.83075,,,,,,,,,,,,
12/6/2020,1.1254,2.8427,,,,,,,,,,,,
15/6/2020,1.1322,2.84435,,,,,,,,,,,,
16/6/2020,1.1263,2.8449,,,,,,,,,,,,
17/6/2020,1.1243,2.8534,,,,,,,,,,,,
18/6/2020,1.1202,2.8545,,,,,,,,,,,,
19/6/2020,1.1175,2.8542,,,,,,,,,,,,
22/6/2020,1.1258,2.8507,,,,,,,,,,,,
23/6/2020,1.1306,2.83515,,,,,,,,,,,,
24/6/2020,1.125,2.8473,,,,,,,,,,,,
25/6/2020,1.1217,2.85625,,,,,,,,,,,,
26/6/2020,1.1217,2.8586,,,,,,,,,,,,
29/6/2020,1.124,2.8527,,,,,,,,,,,,
30/6/2020,1.1231,2.85915,,,,,,,,,,,,
1/7/2020,1.125,2.85985,,,,,,,,,,,,
2/7/2020,1.1238,2.8467,,,,,,,,,,,,
3/7/2020,1.1248,2.85415,,,,,,,,,,,,
6/7/2020,1.1308,2.8415,,,,,,,,,,,,
7/7/2020,1.127,2.84685,,,,,,,,,,,,
8/7/2020,1.1329,2.8456,,,,,,,,,,,,
9/7/2020,1.1281,2.8373,,,,,,,,,,,,
10/7/2020,1.1298,2.8406,,,,,,,,,,,,
13/7/2020,1.134,2.83655,,,,,,,,,,,,
14/7/2020,1.1396,2.83325,,,,,,,,,,,,
15/7/2020,1.141,2.81935,,,,,,,,,,,,
16/7/2020,1.1383,2.82705,,,,,,,,,,,,
17/7/2020,1.1426,2.8223,,,,,,,,,,,,
20/7/2020,1.1444,2.81555,,,,,,,,,,,,
21/7/2020,1.1526,2.81655,,,,,,,,,,,,
22/7/2020,1.1568,2.79705,,,,,,,,,,,,
23/7/2020,1.1594,2.78845,,,,,,,,,,,,
24/7/2020,1.1654,2.7851,,,,,,,,,,,,
27/7/2020,1.1751,2.7583,,,,,,,,,,,,
28/7/2020,1.1714,2.75435,,,,,,,,,,,,
29/7/2020,1.179,2.75265,,,,,,,,,,,,
30/7/2020,1.1846,2.74975,,,,,,,,,,,,
31/7/2020,1.1774,2.74975,,,,,,,,,,,,
3/8/2020,1.1761,2.7538,,,,,,,,,,,,
4/8/2020,1.18,2.74515,,,,,,,,,,,,
5/8/2020,1.1861,2.7348,,,,,,,,,,,,
6/8/2020,1.1875,2.7333,,,,,,,,,,,,
7/8/2020,1.1786,2.7389,,,,,,,,,,,,
10/8/2020,1.1736,2.75075,,,,,,,,,,,,
11/8/2020,1.1739,2.7426,,,,,,,,,,,,
12/8/2020,1.1782,2.7476,,,,,,,,,,,,
13/8/2020,1.1812,2.74225,,,,,,,,,,,,
14/8/2020,1.1841,2.74225,,,,,,,,,,,,
17/8/2020,1.1869,2.7411,,,,,,,,,,,,
18/8/2020,1.1929,2.7285,,,,,,,,,,,,
19/8/2020,1.1836,2.72385,,,,,,,,,,,,
20/8/2020,1.1859,2.72385,,,,,,,,,,,,
21/8/2020,1.1795,2.7442,,,,,,,,,,,,
24/8/2020,1.1787,2.74095,,,,,,,,,,,,
25/8/2020,1.1833,2.74335,,,,,,,,,,,,
26/8/2020,1.1829,2.74445,,,,,,,,,,,,
27/8/2020,1.1821,2.74565,,,,,,,,,,,,
28/8/2020,1.1903,2.7286,,,,,,,,,,,,
31/8/2020,1.1936,2.7248,,,,,,,,,,,,
1/9/2020,1.191,2.7224,,,,,,,,,,,,
2/9/2020,1.1853,2.7392,,,,,,,,,,,,
3/9/2020,1.1849,2.73855,,,,,,,,,,,,
4/9/2020,1.1838,2.7448,,,,,,,,,,,,
7/9/2020,1.1817,2.7424,,,,,,,,,,,,
8/9/2020,1.1779,2.7476,,,,,,,,,,,,
9/9/2020,1.1802,2.74485,,,,,,,,,,,,
10/9/2020,1.1813,2.7382,,,,,,,,,,,,
11/9/2020,1.1845,2.75115,,,,,,,,,,,,
14/9/2020,1.1868,2.7434,,,,,,,,,,,,
15/9/2020,1.1845,2.7461,,,,,,,,,,,,
16/9/2020,1.1814,2.7495,,,,,,,,,,,,
17/9/2020,1.1847,2.751,,,,,,,,,,,,
18/9/2020,1.1837,2.74545,,,,,,,,,,,,
21/9/2020,1.1769,2.7602,,,,,,,,,,,,
22/9/2020,1.1706,2.76415,,,,,,,,,,,,
23/9/2020,1.1659,2.77295,,,,,,,,,,,,
24/9/2020,1.1672,2.78015,,,,,,,,,,,,
25/9/2020,1.163,2.78495,,,,,,,,,,,,
28/9/2020,1.1664,2.77525,,,,,,,,,,,,
29/9/2020,1.1742,2.7684,,,,,,,,,,,,
30/9/2020,1.1718,2.76935,,,,,,,,,,,,
1/10/2020,1.1747,2.76735,,,,,,,,,,,,
2/10/2020,1.1713,2.76835,,,,,,,,,,,,
5/10/2020,1.1781,2.75805,,,,,,,,,,,,
6/10/2020,1.1734,2.75695,,,,,,,,,,,,
7/10/2020,1.176,2.76285,,,,,,,,,,,,
8/10/2020,1.1758,2.76605,,,,,,,,,,,,
9/10/2020,1.1824,2.7574,,,,,,,,,,,,
12/10/2020,1.1813,2.75355,,,,,,,,,,,,
13/10/2020,1.1744,2.76155,,,,,,,,,,,,
